PC	CODIGO	SOLICITADAS	EM ABERTO	 R$ TOTAL 	DATA	MATERIAL	DESCRICAO	MAQS	SUBGRUPO	EST	3M	1A	⚠
34618	VULC AC-0503/2	1000	725	 R$2.291,00 	17/06/26	NBR90	BATENTE DA CREMALHEIRA DO MOTOR AC-0500 GROSSO	03 CAV - 015 016 017	DIVERSOS	316	392	1060	 
34627	VULC 526346	600	590	 R$14.767,70 	18/06/26	*EPDM+TECIDO	DIAFRAGMA VALVULAS 26B / 26C / NS1 / QR / SA09 / SA26	01 CAV - 008	DIAFRAGMAS	-26	246	750	⚠
34670	VULC 645175	5000	5000	 R$7.500,00 	25/06/26	NBR70	ANEL BORRACHA AJUSTADOR FREIO	16 CAV - 013 027	DIVERSOS	950	1018	4316	 
34680	VULC 6000154	500	389	 R$8.005,62 	30/06/26	*EPDM+TECIDO	DIAFRAGMA PORCAO EMERGENCIA E SERVICO VALVULAS DB10 / DB20	01 CAV - 015 016 017	DIAFRAGMAS	107	653	1145	⚠
34690	VULC 6000155	1074	1074	 R$7.646,88 	01/07/26	3127/85 + LATAO	RETENCAO PORCAO SERVICO VALVULAS DB10	REVISAR PROCESSO	VALVULAS DE RETENCAO	261	644	1789	⚠
34725	VULC 575145	10000	10000	 R$13.200,00 	07/07/26	NBR70	JUNTA DA TAMPA DA TORNEIRA  1 1.4	09 CAV - 013 027	JUNTAS PLANAS	4316	3467	11847	 
34740	VULC 665098	218	56	 R$564,48 	07/07/26	*EPDM+TECIDO+LATAO	DIAFRAGMA DO ALIVIO ACELERADO	04 CAV - 015 016 017	DIAFRAGMAS	248	400	1019	⚠
34754	VULC BVB-038	1000	1000	 R$43.480,00 	08/07/26	*SINT. NAO CONDUTIVA	BORRACHA DOS CONTATOS CABO JUMPER - DIR	01 CAV - 015 016 017	ISOLADORES	463	712	1451	 
34789	VULC 554996	60	28	 R$229,88 	14/07/26	NBR70	JUNTA DA BASE DA VALVULA C2W	01 CAV - 014 016 017	JUNTAS ANELARES	7	25	25	⚠
34794	VULC 99882/1	200	200	 R$13.348,00 	15/07/26	*NBR+TECIDO	COPO GAXETA CILINDRO 12"	01 CAV - 013 027	COPOS GAXETA	38	40	96	 
34796	VULC 6000905	600	600	 R$7.008,00 	15/07/26	*EPDM	DIAFRAGMA PEQUENO VALVULAS EL-60	01 CAV - 008	DIAFRAGMAS	369	100	500	 
34796	VULC 6000915	1000	1000	 R$14.170,00 	15/07/26	NBR50E+TECIDO 	DIAFRAGMA GRANDE VALVULAS EL-60	01 CAV - 008 015	DIAFRAGMAS	1	100	502	⚠
34832	VULC 540542	600	600	 R$1.134,00 	20/07/26	4002/75	JUNTA ANELAR VALVULA 26F	04 CAV - 008	JUNTAS ANELARES	458	289	776	 
34832	VULC 561863	1000	1000	 R$4.690,00 	20/07/26	4002/75	JUNTA DA TAMPA INF VALV P2A	01 CAV - 008	JUNTAS PLANAS	90	196	479	⚠
34832	VULC 570193	700	700	 R$12.831,00 	20/07/26	*EPDM+TECIDO	DIAFRAGMA PEQUENO DAS VALVULAS 27A E P2A	01 CAV - 016 017	DIAFRAGMAS	146	234	592	 
34838	VULC 850047	357	357	 R$357,00 	21/07/26	NBR90+LATAO	ASSENTO DE BORRACHA	REVISAR PROCESSO	ASSENTOS DE ESFERA	160	93	328	 
34840	VULC 097368	500	500	 R$3.950,00 	21/07/26	NBR70	JUNTA DE ENCANAMENTO	01 CAV - 008	JUNTAS PLANAS	58	110	395	⚠
34840	VULC 553823	500	500	 R$3.455,00 	21/07/26	NBR70	JUNTA DA TAMPA DA VALVULA RELE J1	01 CAV - 008	JUNTAS PLANAS	64	91	332	⚠
34840	VULC 557394	500	500	 R$2.300,00 	21/07/26	NBR80	JUNTA DE VEDACAO P/SUPORTE  VALV 26C	REVISAR PROCESSO	JUNTAS PLANAS	153	90	314	 
34852	VULC 533140	836	836	 R$4.614,72 	23/07/26	3127/85+LATAO	RETENCAO PORCAO SERVICO 26C / 26F	09 CAV - 015 016 017	VALVULAS DE RETENCAO	8	166	574	⚠
34897	VULC 511677/1	150	150	 R$6.307,50 	30/07/2026	*OE-NBR	ANEL DO GARFO DO CILINDRO DE FREIO DE BORRACHA	01 CAV - 014 ATE 017	DIVERSOS	-108	0	8	⚠
34941	VULC 563785	300	300	 R$5.418,00 	07/08/2026	NBR50E+TECIDO	DIAFRAGMA DA VALVULA 28 VB	01 CAV - 008	DIAFRAGMAS	0	208	452	⚠
34941	VULC 6000910	1000	1000	 R$3.010,00 	07/08/2026	2913/60	FOLE DE PROTECAO VALVULAS EL-60	04 CAV - 015 016 017	DUTOS/FOLES/PROTECAO	653	100	498	 
34947	VULC 6003440	300	300	 R$300,00 	07/08/2026	*EPDM+TECIDO	DIAFRAGMA UNIVERSAL DO PISTAO DE SERVICO VALVULAS ABDX	01 CAV - 	DIAFRAGMAS	263	170	736	 
34952	VULC 1147/1	500	500	 R$3.545,00 	8/11/2026	NBR80	JUNTA DA TAMPA DO CILINDRO DE FREIO DE 8" REPUXADO	01 CAV - 015 016 017	JUNTAS PLANAS	0	2	628	⚠
